sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
1261,8277587891;-138,0690155029;
1264,7363281250;-137,9589080811;
1267,6516113281;-137,9380493164;
1270,5743408203;-137,8490905762;
1273,5031738281;-137,8490905762;
1276,4385986328;-137,8490905762;
1279,3815917969;-137,8490905762;
1282,3306884766;-137,8490905762;
1285,2866210938;-137,8490905762;
1288,2492675781;-137,7989501953;
1291,2194824219;-137,7966461182;
1294,1958007813;-137,7851257324;
1297,1790771484;-137,7391204834;
1300,1697998047;-137,7289428711;
1303,1667480469;-137,7149353027;
1306,1706542969;-137,7391204834;
1309,1822509766;-137,7851257324;
1312,1999511719;-137,7966461182;
1315,2247314453;-137,7989501953;
1318,2563476563;-137,8094482422;
1321,2957763672;-137,8591461182;
1324,3414306641;-137,8958435059;
1327,3941650391;-137,9380493164;
1330,4545898438;-137,9546661377;
1333,5214843750;-137,9578552246;
1336,5953369141;-137,9578552246;
1339,6770019531;-137,9578552246;
1342,7650146484;-137,9578552246;
1345,8602294922;-137,9578552246;
1348,9632568359;-137,9578552246;
1352,0727539063;-137,9578552246;
1355,1893310547;-137,9578552246;
1358,3131103516;-137,9775390625;
1361,4448242188;-138,0325317383;
1364,5831298828;-138,1943359375;
1367,7285156250;-138,2258453369;
1370,8820800781;-138,2582244873;
1374,0419921875;-138,2727508545;
1377,2092285156;-138,3570556641;
1380,3846435547;-138,3578033447;
1383,5665283203;-138,3588256836;
1386,7557373047;-138,3635253906;
1389,9522705078;-138,4084930420;
1393,1569824219;-138,4348297119;
1396,3682861328;-138,5258026123;
1399,5870361328;-138,5314941406;
1402,8139648438;-138,5314941406;
1406,0474853516;-138,5314941406;
1409,2885742188;-138,5314941406;
1412,5378417969;-138,5738067627;
1415,7938232422;-138,5861053467;
1419,0573730469;-138,6237030029;
1422,3292236328;-138,6412506104;
1425,6077880859;-138,6942901611;
1428,8939208984;-138,6971282959;
1432,1876220703;-138,7064208984;
1435,4896240234;-138,7297363281;
1438,7985839844;-138,7404479980;
1442,1151123047;-138,7463989258;
1445,4400634766;-138,7404479980;
1448,7718505859;-138,7297363281;
1452,1114501953;-138,7064208984;
1455,4594726563;-138,7064208984;
1458,8143310547;-138,7064208984;
1462,1770019531;-138,7064208984;
1465,5474853516;-138,7064208984;
1468,9265136719;-138,7064208984;
1472,3125000000;-138,7064208984;
1475,7061767578;-138,7064208984;
1479,1086425781;-138,7064208984;
1482,5180664063;-138,7064208984;
1485,9354248047;-138,6971282959;
1489,3614501953;-138,6131439209;
1492,7945556641;-138,5738067627;
1496,2354736328;-138,5432434082;
1499,6853027344;-138,5075683594;
1503,1420898438;-138,4799957275;
1506,6069335938;-138,4370574951;
1510,0798339844;-138,4154052734;
1513,5615234375;-138,4154052734;
1517,0502929688;-138,4154052734;
1520,5472412109;-138,4370574951;
1524,0531005859;-138,4496765137;
1527,5661621094;-138,4799957275;
1531,0872802734;-138,4799957275;
1534,6173095703;-138,4799957275;
1538,1547851563;-138,4799957275;
1541,7003173828;-138,4799957275;
1545,2540283203;-138,4496765137;
1548,8167724609;-138,3797607422;
1552,3869628906;-138,3481903076;
1555,9653320313;-138,2848358154;
1559,5527343750;-138,2713775635;
1563,1477050781;-138,2643280029;
1566,7508544922;-138,2306823730;
1570,3631591797;-138,1956787109;
