sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
905,7326660156;-143,5564880371;
907,8204345703;-143,6050567627;
909,9135131836;-143,8263702393;
912,0109252930;-144,5662231445;
914,1131591797;-144,6319732666;
916,2202758789;-144,6858978271;
918,3327026367;-144,7241821289;
920,4495239258;-144,7241821289;
922,5712280273;-144,7241821289;
924,6983642578;-144,7241821289;
926,8298339844;-144,7241821289;
928,9662475586;-144,7241821289;
931,1080932617;-144,7241821289;
933,2543334961;-144,7241821289;
935,4055786133;-144,7241821289;
937,5617675781;-144,6858978271;
939,7233886719;-144,6319732666;
941,8895263672;-144,5662231445;
944,0606689453;-144,4922485352;
946,2373046875;-144,4202728271;
948,4184570313;-144,1899261475;
950,6046142578;-143,8263702393;
952,7963867188;-143,7163543701;
954,9926147461;-143,5564880371;
957,1939697266;-143,1577453613;
959,4008789063;-143,1488800049;
961,6123657227;-143,1488800049;
963,8289794922;-143,0079650879;
966,0506591797;-142,9508514404;
968,2780151367;-142,8633422852;
970,5099487305;-142,7849578857;
972,7470092773;-142,7829742432;
974,9898071289;-142,7617187500;
977,2372436523;-142,4964904785;
979,4898681641;-142,2591400146;
981,7481689453;-142,0211791992;
984,0111694336;-141,9597473145;
986,2794189453;-141,7565460205;
988,5528564453;-141,7565460205;
990,8320922852;-141,7565460205;
993,1160278320;-141,7565460205;
995,4052124023;-141,7565460205;
997,7002563477;-141,7565460205;
1000,0000000000;-141,6708221436;
1002,3050537109;-141,6556396484;
1004,6160278320;-141,4360046387;
1006,9317016602;-141,4357757568;
1009,2527465820;-141,2837219238;
1011,5797119141;-141,4357757568;
1013,9114990234;-141,4360046387;
1016,2485961914;-141,5877685547;
1018,5911254883;-141,6556396484;
1020,9396362305;-141,6708221436;
1023,2929687500;-141,7565460205;
1025,6517333984;-141,9686737061;
1028,0164794922;-142,0211791992;
1030,3861083984;-142,1734161377;
1032,7612304688;-142,2591400146;
1035,1424560547;-142,4964904785;
1037,5284423828;-142,4964904785;
1039,9200439453;-142,4964904785;
1042,3171386719;-142,4964904785;
1044,7203369141;-142,4964904785;
1047,1285400391;-142,5838470459;
1049,5422363281;-142,5855712891;
1051,9620361328;-142,7921447754;
1054,3868408203;-143,1533050537;
1056,8173828125;-143,3743743896;
1059,2539062500;-143,4312438965;
1061,6955566406;-143,5464019775;
1064,1429443359;-143,6328582764;
1066,5964355469;-143,8578948975;
1069,0549316406;-143,9767761230;
1071,5192871094;-144,0024719238;
1073,9891357422;-144,0560455322;
1076,4653320313;-144,1225433350;
1078,9466552734;-144,3791809082;
1081,4337158203;-144,5184020996;
1083,9271240234;-145,0261993408;
1086,4256591797;-145,0585937500;
1088,9299316406;-145,1255950928;
1091,4405517578;-145,2286376953;
1093,9564208984;-145,2900848389;
1096,4781494141;-145,3849334717;
1099,0056152344;-145,3849334717;
1101,5394287109;-145,3849334717;
1104,0786132813;-145,3537445068;
1106,6235351563;-145,2900848389;
1109,1750488281;-145,2900848389;
1111,7316894531;-145,2286376953;
1114,2943115234;-145,0585937500;
1116,8635253906;-144,9503326416;
1119,4379882813;-144,6065826416;
1122,0183105469;-144,5184020996;
1124,6052246094;-144,3791809082;
1127,1976318359;-144,1225433350;
1129,7958984375;-144,0560455322;
1132,4001464844;-144,0024719238;
1135,0109863281;-143,9767761230;
1137,6273193359;-144,5184020996;
1140,2496337891;-144,6065826416;
1142,8785400391;-144,6728820801;
1145,5129394531;-144,9503326416;
1148,1534423828;-145,2206878662;
1150,8006591797;-145,2286376953;
1153,4533691406;-145,2900848389;
1156,1121826172;-145,2900848389;
1158,7770996094;-145,2206878662;
1161,4487304688;-144,9540863037;
1164,1259765625;-144,9503326416;
1166,8093261719;-144,6728820801;
1169,4996337891;-144,6065826416;
1172,1954345703;-144,4353332520;
1174,8973388672;-143,9510498047;
1177,6062011719;-143,9510498047;
1180,3206787109;-143,9510498047;
1183,0413818359;-143,9510498047;
1185,7684326172;-143,9510498047;
1188,5023193359;-143,9510498047;
1191,2419433594;-143,9510498047;
1193,9877929688;-143,9510498047;
1196,7407226563;-143,9510498047;
1199,4992675781;-143,9359436035;
1202,2642822266;-143,9359436035;
1205,0361328125;-143,9359436035;
1207,8138427734;-143,9359436035;
1210,5980224609;-143,9359436035;
1213,3891601563;-143,9359436035;
1216,1861572266;-143,9359436035;
1218,9895019531;-143,9359436035;
1221,7993164063;-143,9359436035;
1224,6163330078;-143,9359436035;
1227,4392089844;-143,9359436035;
1230,2685546875;-143,9290313721;
1233,1051025391;-143,8117523193;
1235,9475097656;-143,8117523193;
1238,7963867188;-143,8117523193;
1241,6525878906;-143,7681121826;
1244,5146484375;-143,5668945313;
1247,3834228516;-143,4810333252;
1250,2586669922;-143,2409667969;
1253,1413574219;-143,2138366699;
1256,0299072266;-143,1656494141;
1258,9251708984;-143,0180206299;
1261,8277587891;-142,8926391602;
1264,7363281250;-142,8696289063;
1267,6516113281;-143,0180206299;
1270,5743408203;-143,0180206299;
1273,5031738281;-143,0180206299;
1276,4385986328;-143,0180206299;
1279,3815917969;-143,0180206299;
1282,3306884766;-143,0180206299;
1285,2866210938;-143,0180206299;
1288,2492675781;-143,0180206299;
1291,2194824219;-143,0180206299;
1294,1958007813;-143,0180206299;
1297,1790771484;-143,0180206299;
1300,1697998047;-143,0180206299;
1303,1667480469;-143,1656494141;
1306,1706542969;-143,1656494141;
1309,1822509766;-143,1656494141;
1312,1999511719;-143,1656494141;
1315,2247314453;-143,1656494141;
1318,2563476563;-143,1656494141;
1321,2957763672;-143,1656494141;
1324,3414306641;-143,4716186523;
1327,3941650391;-143,4810333252;
1330,4545898438;-143,5668945313;
1333,5214843750;-143,7423248291;
1336,5953369141;-143,8900299072;
1339,6770019531;-143,9256286621;
1342,7650146484;-143,7423248291;
1345,8602294922;-143,7423248291;
1348,9632568359;-143,7423248291;
1352,0727539063;-143,7423248291;
1355,1893310547;-143,7423248291;
1358,3131103516;-143,7423248291;
1361,4448242188;-143,7423248291;
1364,5831298828;-143,7423248291;
1367,7285156250;-143,7423248291;
1370,8820800781;-143,7423248291;
1374,0419921875;-143,7423248291;
1377,2092285156;-143,7221069336;
1380,3846435547;-143,6207885742;
1383,5665283203;-143,6207885742;
1386,7557373047;-143,6207885742;
1389,9522705078;-143,6207885742;
1393,1569824219;-143,6207885742;
1396,3682861328;-143,6207885742;
1399,5870361328;-143,6207885742;
1402,8139648438;-143,6207885742;
1406,0474853516;-143,6207885742;
1409,2885742188;-143,6207885742;
1412,5378417969;-143,5867156982;
1415,7938232422;-143,5867156982;
1419,0573730469;-143,5867156982;
1422,3292236328;-143,5867156982;
1425,6077880859;-143,5867156982;
1428,8939208984;-143,5867156982;
1432,1876220703;-143,5867156982;
1435,4896240234;-143,2833404541;
1438,7985839844;-143,2080230713;
1442,1151123047;-143,1604156494;
1445,4400634766;-143,1604156494;
1448,7718505859;-143,1604156494;
1452,1114501953;-143,1604156494;
1455,4594726563;-143,1604156494;
1458,8143310547;-143,2080230713;
1462,1770019531;-143,2833404541;
1465,5474853516;-143,3835601807;
1468,9265136719;-143,5867156982;
1472,3125000000;-143,7031555176;
1475,7061767578;-143,7031555176;
1479,1086425781;-144,1851196289;
1482,5180664063;-144,6127777100;
1485,9354248047;-145,5226287842;
1489,3614501953;-145,8160095215;
1492,7945556641;-146,3835906982;
1496,2354736328;-147,8387145996;
1499,6853027344;-148,2228546143;
1503,1420898438;-148,2228546143;
1506,6069335938;-148,2228546143;
1510,0798339844;-148,2228546143;
1513,5615234375;-148,2228546143;
1517,0502929688;-148,7737884521;
1520,5472412109;-148,8265075684;
1524,0531005859;-148,9946594238;
1527,5661621094;-148,9946594238;
1531,0872802734;-148,9946594238;
1534,6173095703;-148,9946594238;
1538,1547851563;-148,9946594238;
1541,7003173828;-148,9946594238;
1545,2540283203;-148,9946594238;
1548,8167724609;-148,9946594238;
1552,3869628906;-148,9946594238;
1555,9653320313;-148,9946594238;
1559,5527343750;-148,9946594238;
1563,1477050781;-148,9946594238;
1566,7508544922;-148,9946594238;
1570,3631591797;-148,9946594238;
