Trace
Log Plot
A.29.04,N9000B
2282092.97106745,-98.4186868589096
2344228.81531992,-102.794064354
2408056.46757054,-101.048089496814
2473621.99163862,-98.7730198039501
2540972.70554931,-100.307274666709
2610157.21568254,-101.664523427865
2681225.45185183,-94.4688839170608
2754228.70333817,-96.7268753762995
2829219.65590495,-99.7594642851122
2906252.42982087,-101.79882401453
2985382.61891796,-98.7913167365444
3066667.33071318,-101.682335573966
3150165.22762236,-103.962516835471
3235936.56929629,-102.915377186418
3324043.25610958,-102.572809341889
3414548.8738336,-100.171137156829
3507518.73952568,-104.442885722192
3603019.94866785,-105.530173279038
3701121.42358903,-100.582119122889
3801893.96320561,-105.290409433955
3905410.29411638,-101.8379504442
4011745.12308862,-103.587401959082
4120975.1909733,-102.432178816667
4233179.32808821,-107.363872818316
4348438.51110907,-103.764582060422
4466835.92150963,-100.798084427376
4588457.005593,-100.608402154254
4713389.53615741,-102.93802893181
4841723.67584099,-100.354830373124
4973552.0421914,-91.0467387890633
5108969.77450693,-95.5291113815644
5248074.60249772,-102.380640707757
5390966.91681638,-100.323399648105
5537749.8415089,-100.612573345264
5688529.30843841,-102.946452602671
5843414.13373518,-100.954266018139
6002516.09632815,-102.309411302885
6165950.01861482,-103.284765656791
6333833.84932745,-99.4367347384334
6506288.74865558,-101.45104145699
6683439.17568614,-98.6821263644787
6865412.97822455,-94.5604919179472
7052341.48506112,-93.8185331417326
7244359.6007499,-90.7553724563294
7441605.90296806,-90.2805840899869
7644222.742526,-93.1833692009089
7852356.34610072,-91.7192522148161
8066156.92176614,-91.7878403254514
8285778.7673969,-89.3130503463144
8511380.38202376,-88.8266086374125
8743124.58022074,-87.6908660829445
8981178.60960694,-88.4643657507157
9225714.27154763,-90.0018398717609
9476908.0451416,-88.1572894727394
9734941.21458449,-73.9153991540927
10000000,-51.902078491989
